year,wdj_citizen,wdj_govprot,wdj_intermediaries,wdj_press
2006,0.11865376377552216,0.12768817204301075,0.09257979177334016,0.07997311827956988
2007,0.11865376377552216,0.14381720430107528,0.10333247994538318,0.08319892473118277
2008,0.12164062160108965,0.1599462365591398,0.11408516811742621,0.08908730158730156
2009,0.12283536473131665,0.14381720430107528,0.11363713944359109,0.09267153097798257
2010,0.13328936712080292,0.1760752688172043,0.12483785628946924,0.11372887864823346
2011,0.1454544123503643,0.1599462365591398,0.1239097968936679,0.1110244146534469
2012,0.14605178391547782,0.1599462365591398,0.1239097968936679,0.12061436174339399
2013,0.1790476411048834,0.2056451612903226,0.14003882915173244,0.13338317894769505
2014,0.20311318129945583,0.2411290322580645,0.15514379586960236,0.13338317894769505
2015,0.21873018078742307,0.25725806451612904,0.16589648404164536,0.13338317894769505
2016,0.2295682077544823,0.2862903225806452,0.1856097456903909,0.15204813108038912
2017,0.2467736184982931,0.2968637992831541,0.19167536465923565,0.1761670080218467
2018,0.2746607850951371,0.335573476702509,0.22773488458972335,0.1665343915343915
2019,0.28056766196975597,0.40331541218637995,0.2521728122534575,0.16474227683905102
2020,0.3767502055313317,0.44153865847414236,0.32574907668993697,0.16149940262843487
2021,0.37922236374945767,0.46871906468680663,0.33717380787273266,0.14990235272493338
2022,0.37471647537260155,0.46871906468680663,0.33717380787273266,0.15027570995312928
2023,0.32423943459472276,0.48085424133811233,0.3201984992307574,0.1368279569892473
2024,0.3289165824170318,0.45755675029868575,0.320387602242441,0.1361111111111111
2025,0.32709302711300114,0.42992831541218635,0.3207405945309172,0.12495519713261648
